Id	Name	Surname	Phone	E-mail	Group
2	Name0	Surname0	12345670	user0@test.com	\N
3	Name1	Surname1	12345671	user1@test.com	\N
4	Name2	Surname2	12345672	user2@test.com	\N
5	Name3	Surname3	12345673	user3@test.com	\N
6	Name4	Surname4	12345674	user4@test.com	\N
7	Name5	Surname5	12345675	user5@test.com	\N
8	Name6	Surname6	12345676	user6@test.com	\N
9	Name7	Surname7	12345677	user7@test.com	\N
10	Name8	Surname8	12345678	user8@test.com	\N
11	Name9	Surname9	12345679	user9@test.com	\N
12	Name10	Surname10	123456710	user10@test.com	\N
13	Name11	Surname11	123456711	user11@test.com	\N
14	Name12	Surname12	123456712	user12@test.com	\N
15	Other0	OtherSurname0	76543210	user0@other.com	ua.kiev.prog.Group@21ae85e7
16	Other1	OtherSurname1	76543211	user1@other.com	ua.kiev.prog.Group@21ae85e7
17	Other2	OtherSurname2	76543212	user2@other.com	ua.kiev.prog.Group@21ae85e7
18	Other3	OtherSurname3	76543213	user3@other.com	ua.kiev.prog.Group@21ae85e7
19	Other4	OtherSurname4	76543214	user4@other.com	ua.kiev.prog.Group@21ae85e7
20	Other5	OtherSurname5	76543215	user5@other.com	ua.kiev.prog.Group@21ae85e7
21	Other6	OtherSurname6	76543216	user6@other.com	ua.kiev.prog.Group@21ae85e7
22	Other7	OtherSurname7	76543217	user7@other.com	ua.kiev.prog.Group@21ae85e7
23	Other8	OtherSurname8	76543218	user8@other.com	ua.kiev.prog.Group@21ae85e7
24	Other9	OtherSurname9	76543219	user9@other.com	ua.kiev.prog.Group@21ae85e7
