Name	Surname	Phone	E-mail	Group
Name0	Surname0	12345670	user0@test.com	\N
Name1	Surname1	12345671	user1@test.com	\N
Name2	Surname2	12345672	user2@test.com	\N
Name3	Surname3	12345673	user3@test.com	\N
Name4	Surname4	12345674	user4@test.com	\N
Name5	Surname5	12345675	user5@test.com	\N
Name6	Surname6	12345676	user6@test.com	\N
Name7	Surname7	12345677	user7@test.com	\N
Name8	Surname8	12345678	user8@test.com	\N
Name9	Surname9	12345679	user9@test.com	\N
Name10	Surname10	123456710	user10@test.com	\N
Name11	Surname11	123456711	user11@test.com	\N
Name12	Surname12	123456712	user12@test.com	\N
Other0	OtherSurname0	76543210	user0@other.com	ua.kiev.prog.Group@53a60cb2
Other1	OtherSurname1	76543211	user1@other.com	ua.kiev.prog.Group@53a60cb2
Other2	OtherSurname2	76543212	user2@other.com	ua.kiev.prog.Group@53a60cb2
Other3	OtherSurname3	76543213	user3@other.com	ua.kiev.prog.Group@53a60cb2
Other4	OtherSurname4	76543214	user4@other.com	ua.kiev.prog.Group@53a60cb2
Other5	OtherSurname5	76543215	user5@other.com	ua.kiev.prog.Group@53a60cb2
Other6	OtherSurname6	76543216	user6@other.com	ua.kiev.prog.Group@53a60cb2
Other7	OtherSurname7	76543217	user7@other.com	ua.kiev.prog.Group@53a60cb2
Other8	OtherSurname8	76543218	user8@other.com	ua.kiev.prog.Group@53a60cb2
Other9	OtherSurname9	76543219	user9@other.com	ua.kiev.prog.Group@53a60cb2
